Description_BF,CVE_ID,label_bf,y_predicted,predicted_label,ACC,BFDN,BFCU,BFFX,BFBT,BFSD,BFWD,Unnamed: 12,Description_AF,label_af,y_predicted.1,predicted_label.1,ACC.1,AFCB,AFC,AFBC,AFCF,AFAM,AFF,AFR,AFMS,AFMC,AFDN,AFA,AFMO,AFCN,AFP,AFLH,AFPP,Unnamed: 34,Description_CL,label_cl,predict,label_predict,ACC.2,CLBO,CLBU,CLNP,CLSF,CLOOA,CLUAF,CLCT,CLAV,CLIL,CLML,CLOBO,CLAC,CLDS,CLFR,CLTP,Exist_in_excel
$ xmllint -recover ohizsmaase.xml.-6355798974422201279.,CVE-2016-4483,4,negative,4,1,0,0,0,0,0,0,,$ xmllint -recover ohizsmaase.xml.-6355798974422201279.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,$ xmllint -recover ohizsmaase.xml.-6355798974422201279.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
(htmlParseNameComplex): Ditto.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,(htmlParseNameComplex): Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(htmlParseNameComplex): Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
(htmlParseNameComplex): Ditto.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,(htmlParseNameComplex): Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(htmlParseNameComplex): Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
"(pushParseTest): The input for the new test case was so small (4 bytes) that htmlParseChunk() was never called after htmlCreatePushParserCtxt(), thereby creating a false positive test failure.",CVE-2016-1839,4,positive,1,0,0,0,0,0,0,0,,"(pushParseTest): The input for the new test case was so small (4 bytes) that htmlParseChunk() was never called after htmlCreatePushParserCtxt(), thereby creating a false positive test failure.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"(pushParseTest): The input for the new test case was so small (4 bytes) that htmlParseChunk() was never called after htmlCreatePushParserCtxt(), thereby creating a false positive test failure.",3,negative,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
"(pushParseTest): The input for the new test case was so small (4 bytes) that htmlParseChunk() was never called after htmlCreatePushParserCtxt(), thereby creating a false positive test failure.",CVE-2016-1839,4,positive,1,0,0,0,0,0,0,0,,"(pushParseTest): The input for the new test case was so small (4 bytes) that htmlParseChunk() was never called after htmlCreatePushParserCtxt(), thereby creating a false positive test failure.",4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"(pushParseTest): The input for the new test case was so small (4 bytes) that htmlParseChunk() was never called after htmlCreatePushParserCtxt(), thereby creating a false positive test failure.",3,negative,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE
(xmlParseConditionalSections): Halt parsing when hitting invalid input that would otherwise caused xmlParserHandlePEReference() to recurse unexpectedly.,CVE-2016-4447,4,positive,1,0,0,0,0,0,0,0,,(xmlParseConditionalSections): Halt parsing when hitting invalid input that would otherwise caused xmlParserHandlePEReference() to recurse unexpectedly.,4,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(xmlParseConditionalSections): Halt parsing when hitting invalid input that would otherwise caused xmlParserHandlePEReference() to recurse unexpectedly.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
(xmlStrncatNew): Ditto.,CVE-2016-1834,4,negative,4,1,0,0,0,0,0,0,,(xmlStrncatNew): Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,(xmlStrncatNew): Ditto.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
* HTMLparser.c: (htmlParseName): Add bounds check.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* HTMLparser.c: (htmlParseName): Add bounds check.,2,positive,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,* HTMLparser.c: (htmlParseName): Add bounds check.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
* HTMLparser.c: (htmlParseName): Add bounds check.,CVE-2016-1839,4,negative,4,1,0,0,0,0,0,0,,* HTMLparser.c: (htmlParseName): Add bounds check.,2,positive,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,* HTMLparser.c: (htmlParseName): Add bounds check.,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
* parser.c: (xmlParseElementDecl): Return early on invalid input to fix non-minimized test case (759573-2.xml).,CVE-2016-4447,4,negative,4,1,0,0,0,0,0,0,,* parser.c: (xmlParseElementDecl): Return early on invalid input to fix non-minimized test case (759573-2.xml).,2,positive,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,* parser.c: (xmlParseElementDecl): Return early on invalid input to fix non-minimized test case (759573-2.xml).,4,negative,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
